product,price,stock,category
Laptop,1200.50,10,Electronics
Mouse,25.00,100,Accessories
Monitor,300.00,15,Electronics
Keyboard,50.00,5,Accessories
Phone,800.00,20,Electronics
Tablet,450.00,25,Electronics
Headphones,80.00,50,Accessories
Webcam,60.00,30,Electronics
USB-C Cable,12.50,200,Accessories
Smartwatch,250.00,40,Electronics
Phone,10000.00,20,Electronics
External Hard Drive,110.00,35,Accessories
Gaming Console,500.00,8,Electronics
Wireless Charger,30.00,75,Accessories
Bluetooth Speaker,90.00,45,Electronics
Laptop Stand,45.00,60,Accessories
Printer,150.00,12,Electronics
Graphics Card,700.00,5,Electronics
Screen Protector,10.00,150,Accessories
Router,120.00,20,Electronics
Microphone,130.00,18,Electronics
